"","text.X","text.text"
"112",112,"Трамвай загорелся на остановке в Златоусте http://t.co/zhkCsYiiZq http://t.co/Bspl97AIZt"
"113",113,"Дорожное строительство в регионе станет инновационным по поручению Бориса Дубровского http://t.co/0ANdsJSsFW http://t.co/HGSqEA4hjZ"
"114",114,"Женщина и 3-летний ребенок погибли в пожаре в Магнитогорске http://t.co/Lq89UQ4Svu http://t.co/5WwV0qev9P"
"115",115,"Почти 20 грузовиков сгорели в пожаре в Челябинске http://t.co/UHxkLUH0eV http://t.co/V47WJrEPe0"
"116",116,"Социальная устойчивость области серьезно выросла при Борисе Дубровском http://t.co/WrUjYLd3sX http://t.co/REE5bHqca9"
"117",117,"Борис Дубровский утвердил министром экологии региона Егора Ковальчука http://t.co/UbXqlbpZB4 http://t.co/fZp3ZMaqmx"
"118",118,"Южноуралец признался в убийстве ножом трех знакомых  http://t.co/jFYbNfxIUW http://t.co/BCVWthzxkE"
"119",119,"Пенсионерка из Челябинска изобрела способ защиты от клещей http://t.co/Yu9uOiUXhH http://t.co/3GnHRCwjUI"
"120",120,"В ближайшие 50 лет смерчи в России станут системным явлением http://t.co/cnwdcdU1Le http://t.co/tBBMgfloDE"
"121",121,"Лучшие балетные труппы России собрались в Челябинске на театральный фестиваль http://t.co/M3lCz1UOTM http://t.co/eXJ3gIyHwk"
"122",122,"В озера Южного Урала выпустят 200 миллионов мальков http://t.co/7OZmNhRkYP http://t.co/BykGdb61ra"
"123",123,"Дубровский потребовал от муниципалитетов постоянной работы по благоустройству территорий http://t.co/rFCfxR4GMK http://t.co/zkyOY6glvl"
"124",124,"Дворник получил 3 года колонии за сборку пистолетов для отстрела собак http://t.co/a3CsUSziR2 http://t.co/utBmUE4z7Q"
"125",125,"Борис Дубровский требует уволить чиновников, создающих административные барьеры http://t.co/rs0TbLn4a7 http://t.co/1FbPwmQP8x"
"126",126,"«Единая Россия» подбирает кандидатов на праймериз с Борисом Дубровским http://t.co/twBizT6DuD http://t.co/oEVgvMcWtl"
"127",127,"На Южном Урале наркополицейские задержали дилеров смертельной «синтетики» http://t.co/m2Rul4OfF3 http://t.co/zWCMydSFHW"
"128",128,"В Челябинске водитель малолитражки впал в кому после ДТП с тягачом http://t.co/gL3tCpVWhE http://t.co/KLj9VNlDC5"
"129",129,"Главврачу больницы Кунашака предъявлено обвинение в мошенничестве http://t.co/AKsq1ch3z6 http://t.co/zzJnrhPQ7A"
"130",130,"А ты подписан на e-mail рассылку новостей http://t.co/Eo7jYWdbFk? http://t.co/6MuyfODMd9 http://t.co/0NPXgU4WCs"
"131",131,"Дмитрий Медведев поручил сократить численность чиновников в регионах на 10% http://t.co/RMdlxo5ACA http://t.co/WYpYMQ4Zi9"
"132",132,"На трассе в Копейске внедорожник сбил ребенка http://t.co/UmjxCrGBg3 http://t.co/lX9w8vFKbl"
"133",133,"Парень, пропавший 3 недели назад, объявлен в розыск в Челябинске http://t.co/mc8S3h9PqK http://t.co/5WyhcuOZwY"
"134",134,"В 2013 году сити-менеджер Челябинска Сергей Давыдов заработал больше 2 миллионов http://t.co/eUgkb9fD7G http://t.co/eT8jc50bjn"
"135",135,"По поручению Дубровского сумму госдолга снизили на 1,4 миллиарда рублей  http://t.co/zym5FgVoDZ http://t.co/mYMibDpU4Z"
"136",136,"Число иностранных рабочих на Южном Урале сократят путем «экономического вытеснения» http://t.co/ufPCgaB9Yd http://t.co/tPRxnX91tQ"
"137",137,"Южноуральский Минздрав изучает медкарту женщины, сбитой машиной в Греции http://t.co/9ccnLCkKM8 http://t.co/9LbJJxbjj6"
"138",138,"Аптека заплатит 30 тысяч за падение металлической решетки на сотрудницу http://t.co/9OJz9i8elO http://t.co/qFVToowqKG"
"139",139,"Тюремный врач получил срок за продажу наркотического дезодоранта заключенным http://t.co/RSSNJFrLl5 http://t.co/1cw0S8Uhgb"
"140",140,"Женщине грозит срок за смерть новорожденной дочери от ожогов http://t.co/g3AbHQEjND http://t.co/CWtOum306o"
"141",141,"Система образования в России признана одной из лучших в мире http://t.co/VgfFQljJRW http://t.co/iOETK6aoMt"
"142",142,"Мужчина застрелился из ружья, сидя в автомобиле http://t.co/QszkjnLp22 http://t.co/POBDID9ah5"
"143",143,"2-летний мальчик умер, подавившись яблоком http://t.co/X6ymEshwCZ http://t.co/J0ZoLRgk93"
"144",144,"«Десятка» залетела под попутный грузовик на трассе: есть погибшие http://t.co/w2KrQZYapT http://t.co/1VcAIy3zAy"
"145",145,"Сотрудник ГИБДД внес ложные данные при сдаче женщины экзамена на права http://t.co/6KofMOykRV http://t.co/zjE7wQIW57"
"146",146,"http://t.co/Fey02eILVp"
"147",147,"Экс-ректора Троицкого вуза, обвиняемого во взятках, приговорили к 3 годам условного срока http://t.co/2yQAQlhRVZ http://t.co/8xFzh1eJw1"
"148",148,"Андрею Комарову продлили домашний арест на 3 месяца http://t.co/WOKIrB0dhq http://t.co/202O3c3GGE"
"149",149,"Масштабный пожар в садах под Кыштымом едва не перекинулся на лес http://t.co/IamymKtXDu http://t.co/8Xnn87efR6"
"150",150,"Челябинские студенты едут на финал фестиваля «Весна студенческая» с мюзиклом «Ое-ТВ» http://t.co/r8KXVzWHF7 http://t.co/XS6VdEnPJh"
"151",151,"Пассажир ранил таксиста, не согласившись со стоимостью проезда http://t.co/RGZZGY4utr http://t.co/1dPkg0TSbG"
"152",152,"Южноуральским парижанам раздали бесплатных цыплят http://t.co/IVttpVb1wO http://t.co/vdvvPDfF7I"
"153",153,"Семья собирает деньги на лечение жительницы Снежинска, сбитой машиной в Греции http://t.co/bwX4Kk6yfa http://t.co/jD0Co5geKV"
"154",154,"Полиция ищет по видеозаписи мужчину, угрожавшего пистолетом продавщице ломбарда http://t.co/KyXEfrWaPv http://t.co/pM8gvrlEWD"
"155",155,"Горожане высадили целую аллею благодаря акции «277 тысяч деревьев Челябинску» http://t.co/z7xQWoUMUk http://t.co/oMNR3X273Z"
"156",156,"После победы Кончиты Вурст на Южный Урал приедет австрийская музыкальная исполнительница http://t.co/4z75mdVUej http://t.co/3VKsNndDcG"
"157",157,"На трассе под Саткой избили и обстреляли троих человек http://t.co/5hDone1KK1 http://t.co/pACEDdSyQd"
"158",158,"Суд оценил смерть пассажира под колесами трамвая в 600 тысяч http://t.co/l5JpAXz0Mt http://t.co/NZ5GGUlKFm"
"159",159,"Директором челябинского Камерного театра стал преподаватель ЮУрГУ http://t.co/IcZttMvp73 http://t.co/aZ4yfUmIGV"
"160",160,"В ЧелГУ воры-альпинисты украли дипломы нового образца http://t.co/nBlCnDjdmr http://t.co/q7ayWPpIBd"
"161",161,"Карту безопасных детских площадок составят на платформе 2gis http://t.co/E4Ts7UQYxH http://t.co/iLVw2QD23q"
"162",162,"Добровольцы посадят деревья на сгоревших участках Челябинского городского бора http://t.co/T7QjPmiWob http://t.co/PBjIBg0inv"
"163",163,"Челябинская компания заплатит 300 тысяч за травму ребенка на детской площадке http://t.co/IvaZu4b9XH http://t.co/fvAczbOcHn"
"164",164,"Челябинцу грозит срок за многократные половые связи с малолетними http://t.co/5nCEgonnCn http://t.co/Xe130y1WWc"
"165",165,"Труп с гнилостными изменениями найден возле кладбища в Миассе http://t.co/ZOgflWYJr2 http://t.co/D1dGfjsJK4"
"166",166,"Челябинский зоопарк украшают бытовыми отходами http://t.co/UfHpjqFW24 http://t.co/eG16qBjzzH"
"167",167,"Жителю Троицка, «заминировавшему» автобусы в Сочи, грозит 3 года тюрьмы http://t.co/u8bMrqBkYq http://t.co/bj2m47o4zf"
"168",168,"Воспитанники «Трактора» и «Металлурга» забили американцам на ЧМ-2014 http://t.co/U2H1R9Zkxm http://t.co/eFLZ9oN3Q7"
"169",169,"«Суровые челябинцы» разбили автомобиль, припаркованный на детской площадке http://t.co/advF0sUnZv http://t.co/SfNHcSqfxA"
"170",170,"С каждым лайком лето всё ближе! http://t.co/FoGy9Vwi39"
"171",171,"За хранение трупа на балконе челябинец приговорен к 8 годам тюрьмы http://t.co/r6OIojsFCk http://t.co/IHu7wzQJHN"
"172",172,"В Кусе крупный пожар чуть не уничтожил половину улицы http://t.co/VrJq74xY8R http://t.co/gwZgT4DZEv"
"173",173,"Южноуралец задержан за избиение 6-летней падчерицы http://t.co/uDPUV2APy3 http://t.co/iYDW3uIFJX"
"174",174,"Сейчас на форуме http://t.co/e3cXGmE1aa! http://t.co/Og0LrpLVYs http://t.co/tNY6PTmrIw"
"175",175,"Австрийскому трансвеститу Кончите Вурст могут запретить въезд в Россию http://t.co/OFItFXj2rJ http://t.co/aO2NMW1LzD"
"176",176,"Подозреваемого в угоне трактора задержали спустя 1,5 года http://t.co/pOmAOGqY4O http://t.co/HUNs4dzm8K"
"177",177,"Таможня передала буддистские статуи XIX века в музей Троицка http://t.co/LcS3TZWT7g http://t.co/RswaOU3Cyl"
"178",178,"К среде температура в Челябинской области поднимется до +32 http://t.co/XoiVIegZwx http://t.co/KizBs7sscl"
"179",179,"«Родник» из ртути спасатели ликвидировали в Миассе http://t.co/jcWRxvwyw9 http://t.co/7n77wwobh1"
"180",180,"Телеканал ОТВ вручает призы за знание сериала «Рабыня Изаура» http://t.co/IucEQNCojT http://t.co/eh620wIfQs"
"181",181,"Южноуральские депутаты приглашают молодежь Крыма и Севастополя учиться в ЧВВАКУШ http://t.co/iqlSjBKcKd http://t.co/uFLYNRJ7Bz"
"182",182,"Тонущего ребенка на километр снесло по течению из-за водоворота http://t.co/34gafj1RFj http://t.co/8J2TOdeCQv"
"183",183,"Доходы в областной бюджет выросли на 14,5% http://t.co/Xay98xQoPc http://t.co/uvcxUEzxgO"
"184",184,"Штрафы за сокрытие двойного гражданства введут в России http://t.co/qqohehSZe4 http://t.co/9MScZnV4ee"
"185",185,"В Челябинске пересмотрят сроки ремонта на улице Энтузиастов http://t.co/uSnHQiudN9 http://t.co/2fdsTPzXd2"
"186",186,"За 2013 год Борис Дубровский заработал 340 миллионов рублей http://t.co/KfAKyeCCwQ http://t.co/SzXzeujCta"
"187",187,"Более 450 челябинцев укушены клещами за неделю http://t.co/C0SZA3GCaI http://t.co/CgZ13LhrAl"
"188",188,"Техники авиабазы Шагол получили условный срок за крушение бомбардировщика http://t.co/RYF2OVNwsd http://t.co/PuoDsFiw9e"
"189",189,"Мальчику, упавшему в канализационный колодец, заплатят 55 тысяч рублей http://t.co/zmnWdR8YtE http://t.co/bn97fJxSll"
"190",190,"В Челябинске 20-летняя автоледи насмерть сбила пенсионера http://t.co/RQJYsXcek5 http://t.co/CcyUyVJmDL"
"191",191,"Муниципальные службы будут помогать челябинцам с документами за 15 минут http://t.co/gB6U7LGXRZ http://t.co/ctzQ8vDfr1"
"192",192,"СК проверяет смертельное ДТП с угонщиком и служебной «десяткой» http://t.co/FOSfISfsn2 http://t.co/oevC59V5l1"
"193",193,"Последствия ДТП с погибшим мотоциклистом очевидцы сняли на видео http://t.co/BKpeKGvozM http://t.co/OYJtJZmHKm"
